取引日,取引種別,商品,限月,ダミー,始値,高値,安値,終値,帳入値,出来高,取組高
20240813,61,51,202502,,17200,17200,17200,17200,17200,1,1
20240813,61,51,202504,,17200,17200,17200,17200,17200,1,1
20240813,61,51,202506,,17200,17200,17200,17200,17200,1,1
20240814,61,51,202502,,17390,17390,17390,17390,17390,1,0
20240814,61,51,202504,,17370,17370,17370,17370,17370,1,0
20240814,61,51,202506,,17350,17350,17350,17350,17350,1,0
20240815,61,51,202502,,17570,17570,17570,17570,17570,1,1
20240815,61,51,202504,,17540,17540,17540,17540,17540,1,1
20240815,61,51,202506,,17510,17510,17510,17510,17510,1,1
20240816,61,51,202502,,,,,,17570,0,1
20240816,61,51,202504,,,,,,17540,0,1
20240816,61,51,202506,,,,,,17510,0,1
20240819,61,51,202502,,17710,17710,17710,17710,17710,1,0
20240819,61,51,202504,,17700,17700,17700,17700,17700,1,0
20240819,61,51,202506,,17690,17690,17690,17690,17690,1,0
20240820,61,51,202502,,18060,18060,18060,18060,18060,2,2
20240820,61,51,202504,,18050,18050,18050,18050,18050,2,2
20240820,61,51,202506,,18040,18040,18040,18040,18040,2,2
20240821,61,51,202502,,18510,18510,18510,18510,18510,10,12
20240821,61,51,202504,,18500,18500,18500,18500,18500,10,12
20240821,61,51,202506,,18460,18480,18460,18480,18480,2,4
20240822,61,51,202502,,19060,19070,19060,19060,19070,15,27
20240822,61,51,202504,,19050,19050,19050,19050,19050,4,16
20240822,61,51,202506,,,,,,19010,0,4
20240823,61,51,202502,,19550,19550,19550,19550,19550,10,36
20240823,61,51,202504,,19500,19530,19500,19530,19530,5,19
20240823,61,51,202506,,19490,19490,19490,19490,19490,1,4
20240826,61,51,202502,,20140,20140,20140,20140,20140,3,39
20240826,61,51,202504,,20120,20120,20120,20120,20120,6,23
20240826,61,51,202506,,,,,,20070,0,4
20240827,61,51,202502,,20740,20740,20740,20740,20740,1,40
20240827,61,51,202504,,20720,20720,20720,20720,20720,1,23
20240827,61,51,202506,,20070,20670,20070,20670,20670,6,9
20240828,61,51,202502,,21360,21360,21360,21360,21360,1,41
20240828,61,51,202504,,21340,21340,21340,21340,21340,1,24
20240828,61,51,202506,,21290,21290,21290,21290,21290,5,11
20240829,61,51,202502,,21990,22000,21990,22000,22000,5,42
20240829,61,51,202504,,,,,,21980,0,24
20240829,61,51,202506,,21930,21930,21930,21930,21930,1,12
20240830,61,51,202502,,22660,22660,22660,22660,22660,3,45
20240830,61,51,202504,,,,,,22640,0,24
20240830,61,51,202506,,22590,22590,22590,22590,22590,3,15
20240902,61,51,202502,,23340,23340,23340,23340,23340,8,51
20240902,61,51,202504,,23320,23320,23320,23320,23320,11,27
20240902,61,51,202506,,23270,23270,23270,23270,23270,3,17
20240902,61,51,202508,,23270,23270,23270,23270,23270,1,1
20240903,61,51,202502,,24040,24040,24040,24040,24040,3,53
20240903,61,51,202504,,24020,24020,24020,24020,24020,2,28
20240903,61,51,202506,,23970,23970,23970,23970,23970,6,23
20240903,61,51,202508,,,,,,23970,0,1
20240904,61,51,202502,,24760,24760,23320,23320,24100,27,64
20240904,61,51,202504,,24740,24740,24740,24740,24740,5,30
20240904,61,51,202506,,24690,24690,23250,23900,24400,20,22
20240904,61,51,202508,,24690,24690,24000,24000,24050,4,4
20240905,61,51,202502,,23980,23980,23980,23980,23980,1,64
20240905,61,51,202504,,,,,,24740,0,30
20240905,61,51,202506,,23790,23790,23790,23790,23790,1,22
20240905,61,51,202508,,,,,,24050,0,4
20240906,61,51,202502,,23500,23500,23500,23500,23500,2,64
20240906,61,51,202504,,,,,,24250,0,30
20240906,61,51,202506,,23310,23310,23310,23310,23310,2,21
20240906,61,51,202508,,,,,,23570,0,4
20240909,61,51,202502,,,,,,23500,0,64
20240909,61,51,202504,,,,,,24250,0,30
20240909,61,51,202506,,,,,,23310,0,21
20240909,61,51,202508,,,,,,23570,0,4
20240910,61,51,202502,,23030,23030,23030,23030,23030,1,63
20240910,61,51,202504,,,,,,23760,0,30
20240910,61,51,202506,,,,,,22840,0,21
20240910,61,51,202508,,,,,,23100,0,4
20240911,61,51,202502,,22450,22450,22450,22450,22450,1,62
20240911,61,51,202504,,23170,23170,23170,23170,23170,1,29
20240911,61,51,202506,,22400,22400,22270,22270,22270,2,20
20240911,61,51,202508,,23300,23300,22600,22700,22700,4,7
20240912,61,51,202502,,21780,21780,21780,21780,21780,2,60
20240912,61,51,202504,,22470,22470,22470,22470,22470,1,29
20240912,61,51,202506,,21600,21600,21600,21600,21600,1,19
20240912,61,51,202508,,22700,22700,22020,22020,22020,2,8
20240913,61,51,202502,,21130,21130,21130,21130,21130,1,59
20240913,61,51,202504,,,,,,21800,0,29
20240913,61,51,202506,,20950,20950,20950,20950,20950,4,16
20240913,61,51,202508,,21360,21360,21360,21360,21360,1,7
20240917,61,51,202502,,20500,20500,20500,20500,20500,2,57
20240917,61,51,202504,,21150,21150,21150,21150,21150,3,27
20240917,61,51,202506,,20330,20330,20320,20320,20320,6,11
20240917,61,51,202508,,21360,21500,20720,20720,20720,8,9
20240918,61,51,202502,,19880,19880,19880,19880,19880,2,55
20240918,61,51,202504,,20520,20520,20520,20520,20520,2,27
20240918,61,51,202506,,20100,20100,19710,19710,19710,5,9
20240918,61,51,202508,,,,,,20100,0,9
20240919,61,51,202502,,19300,19300,19280,19280,19280,22,44
20240919,61,51,202504,,,,,,19900,0,27
20240919,61,51,202506,,19200,19200,19200,19200,19200,8,5
20240919,61,51,202508,,19500,19500,19500,19500,19500,3,9
20240920,61,51,202502,,18800,18800,18700,18780,18780,23,44
20240920,61,51,202504,,19300,19300,19300,19300,19300,3,26
20240920,61,51,202506,,18800,19000,18630,19000,19000,5,6
20240920,61,51,202508,,19100,19100,18910,18910,18910,8,7
20240924,61,51,202502,,18780,18780,18780,18780,18780,2,45
20240924,61,51,202504,,18780,18880,18720,18730,18730,16,23
20240924,61,51,202506,,,,,,19000,0,6
20240924,61,51,202508,,,,,,18910,0,7
20240925,61,51,202502,,18480,19200,18480,19200,19200,2,45
20240925,61,51,202504,,,,,,18730,0,23
20240925,61,51,202506,,,,,,19000,0,6
20240925,61,51,202508,,,,,,18910,0,7
20240926,61,51,202502,,19580,19580,19580,19580,19580,1,45
20240926,61,51,202504,,,,,,18730,0,23
20240926,61,51,202506,,,,,,19000,0,6
20240926,61,51,202508,,19000,19000,19000,19000,19000,1,8
20240927,61,51,202502,,19970,19970,19970,19970,19970,1,46
20240927,61,51,202504,,,,,,19100,0,23
20240927,61,51,202506,,,,,,19380,0,6
20240927,61,51,202508,,,,,,19380,0,8
20240930,61,51,202502,,20000,20470,20000,20470,20470,3,46
20240930,61,51,202504,,19580,19580,19580,19580,19580,1,23
20240930,61,51,202506,,,,,,19860,0,6
20240930,61,51,202508,,,,,,19860,0,8
20241001,61,51,202502,,20470,20470,20470,20470,20470,1,47
20241001,61,51,202504,,20170,20170,20000,20170,20170,5,25
20241001,61,51,202506,,20460,20460,20000,20460,20460,3,7
20241001,61,51,202508,,20460,20460,20000,20460,20460,6,10
20241002,61,51,202502,,20470,21020,20470,21020,21020,3,48
20241002,61,51,202504,,20780,20780,20780,20780,20780,1,24
20241002,61,51,202506,,21000,21010,21000,21010,21010,2,7
20241002,61,51,202508,,20960,20960,20960,20960,20960,1,10
20241003,61,51,202502,,20490,20490,20490,20490,20490,1,48
20241003,61,51,202504,,21300,21300,21300,21300,21300,1,24
20241003,61,51,202506,,21500,21500,20480,20480,20990,2,6
20241003,61,51,202508,,20440,20440,20440,20440,20440,3,8
20241004,61,51,202502,,19880,19880,19880,19880,19880,1,47
20241004,61,51,202504,,,,,,21300,0,24
20241004,61,51,202506,,,,,,20990,0,6
20241004,61,51,202508,,20440,20440,20440,20440,20440,1,8
20241007,61,51,202502,,,,,,19880,0,47
20241007,61,51,202504,,,,,,21300,0,24
20241007,61,51,202506,,,,,,20990,0,6
20241007,61,51,202508,,20440,20440,20440,20440,20440,3,9
20241008,61,51,202502,,,,,,19880,0,47
20241008,61,51,202504,,,,,,21300,0,24
20241008,61,51,202506,,,,,,20990,0,6
20241008,61,51,202508,,,,,,20440,0,9
20241009,61,51,202502,,,,,,19880,0,47
20241009,61,51,202504,,21270,21300,21270,21300,21300,2,25
20241009,61,51,202506,,21300,21300,21300,21300,21300,1,7
20241009,61,51,202508,,20850,20850,20850,20850,20850,1,10
20241010,61,51,202502,,,,,,20280,0,47
20241010,61,51,202504,,,,,,21300,0,25
20241010,61,51,202506,,,,,,21300,0,7
20241010,61,51,202508,,20850,21000,20850,21000,21000,4,12
20241011,61,51,202502,,,,,,20690,0,47
20241011,61,51,202504,,21310,21700,21310,21700,21700,4,26
20241011,61,51,202506,,21700,21700,21700,21700,21700,1,6
20241011,61,51,202508,,21420,21420,21420,21420,21420,1,12
20241015,61,51,202502,,,,,,20690,0,47
20241015,61,51,202504,,,,,,21700,0,26
20241015,61,51,202506,,,,,,21700,0,6
20241015,61,51,202508,,,,,,21420,0,12
20241016,61,51,202502,,20990,20990,20990,20990,20990,1,46
20241016,61,51,202504,,,,,,21700,0,26
20241016,61,51,202506,,,,,,21700,0,6
20241016,61,51,202508,,,,,,21420,0,12
20241017,61,51,202502,,,,,,21100,0,46
20241017,61,51,202504,,,,,,21700,0,26
20241017,61,51,202506,,,,,,21700,0,6
20241017,61,51,202508,,,,,,21420,0,12
20241018,61,51,202502,,,,,,21100,0,46
20241018,61,51,202504,,,,,,21700,0,26
20241018,61,51,202506,,,,,,21700,0,6
20241018,61,51,202508,,,,,,21420,0,12
20241021,61,51,202502,,,,,,21520,0,46
20241021,61,51,202504,,,,,,21700,0,26
20241021,61,51,202506,,,,,,21700,0,6
20241021,61,51,202508,,21640,21640,21640,21640,21640,1,13
20241022,61,51,202502,,21950,21950,21950,21950,21950,1,45
20241022,61,51,202504,,,,,,21700,0,26
20241022,61,51,202506,,,,,,21700,0,6
20241022,61,51,202508,,22070,22070,22070,22070,22070,2,11
20241023,61,51,202502,,21950,21950,21950,21950,21950,1,44
20241023,61,51,202504,,,,,,21700,0,26
20241023,61,51,202506,,21170,21170,21160,21160,21160,2,7
20241023,61,51,202508,,,,,,22070,0,11
20241024,61,51,202502,,22300,22300,22300,22300,22300,2,43
20241024,61,51,202504,,,,,,21850,0,26
20241024,61,51,202506,,,,,,21200,0,7
20241024,61,51,202508,,22450,22500,22450,22500,22480,2,12
20241025,61,51,202502,,,,,,22300,0,43
20241025,61,51,202504,,,,,,21850,0,26
20241025,61,51,202506,,,,,,21200,0,7
20241025,61,51,202508,,,,,,22480,0,12
20241028,61,51,202502,,,,,,22300,0,43
20241028,61,51,202504,,22000,22000,22000,22000,22000,1,25
20241028,61,51,202506,,,,,,21200,0,7
20241028,61,51,202508,,,,,,22480,0,12
20241029,61,51,202502,,22500,22500,22500,22500,22500,6,43
20241029,61,51,202504,,22200,22200,22200,22200,22200,1,25
20241029,61,51,202506,,,,,,21620,0,7
20241029,61,51,202508,,22450,22450,22450,22450,22450,1,13
20241030,61,51,202502,,,,,,22500,0,43
20241030,61,51,202504,,,,,,22200,0,25
20241030,61,51,202506,,,,,,21620,0,7
20241030,61,51,202508,,,,,,22450,0,13
20241031,61,51,202502,,,,,,22500,0,43
20241031,61,51,202504,,,,,,22200,0,25
20241031,61,51,202506,,,,,,21620,0,7
20241031,61,51,202508,,22000,22000,22000,22000,22000,1,12
20241101,61,51,202502,,22800,22800,22800,22800,22800,15,44
20241101,61,51,202504,,22640,22640,22640,22640,22640,1,26
20241101,61,51,202506,,,,,,21620,0,7
20241101,61,51,202508,,,,,,22000,0,12
20241101,61,51,202510,,,,,,22000,0,0
20241105,61,51,202502,,,,,,22800,0,44
20241105,61,51,202504,,,,,,22640,0,26
20241105,61,51,202506,,,,,,22050,0,7
20241105,61,51,202508,,,,,,22000,0,12
20241105,61,51,202510,,22000,22000,22000,22000,22000,1,1
20241106,61,51,202502,,22500,22500,22500,22500,22500,1,44
20241106,61,51,202504,,22400,22400,22190,22190,22190,3,25
20241106,61,51,202506,,,,,,22050,0,7
20241106,61,51,202508,,,,,,22000,0,12
20241106,61,51,202510,,,,,,22000,0,1
20241107,61,51,202502,,,,,,22500,0,44
20241107,61,51,202504,,21800,21800,21770,21770,21770,2,25
20241107,61,51,202506,,21700,21700,21700,21700,21700,1,7
20241107,61,51,202508,,21650,21650,21650,21650,21650,1,11
20241107,61,51,202510,,,,,,22000,0,1
20241108,61,51,202502,,,,,,22500,0,44
20241108,61,51,202504,,22090,22210,22090,22210,22210,2,25
20241108,61,51,202506,,22130,22130,22130,22130,22130,1,8
20241108,61,51,202508,,,,,,21650,0,11
20241108,61,51,202510,,,,,,22000,0,1
20241111,61,51,202502,,,,,,22500,0,44
20241111,61,51,202504,,,,,,22210,0,25
20241111,61,51,202506,,,,,,22130,0,8
20241111,61,51,202508,,22190,22190,22190,22190,22190,3,12
20241111,61,51,202510,,,,,,22000,0,1
20241112,61,51,202502,,,,,,22500,0,44
20241112,61,51,202504,,22410,22410,22410,22410,22410,1,25
20241112,61,51,202506,,,,,,22130,0,8
20241112,61,51,202508,,,,,,22190,0,12
20241112,61,51,202510,,,,,,22000,0,1
20241113,61,51,202502,,,,,,22500,0,44
20241113,61,51,202504,,,,,,22410,0,25
20241113,61,51,202506,,22550,22550,22550,22550,22550,1,9
20241113,61,51,202508,,22500,22500,22500,22500,22500,1,11
20241113,61,51,202510,,22200,22440,22200,22440,22440,2,3
20241114,61,51,202502,,,,,,22500,0,44
20241114,61,51,202504,,,,,,22410,0,25
20241114,61,51,202506,,,,,,22550,0,9
20241114,61,51,202508,,,,,,22500,0,11
20241114,61,51,202510,,,,,,22440,0,3
20241115,61,51,202502,,,,,,22500,0,44
20241115,61,51,202504,,,,,,22410,0,25
20241115,61,51,202506,,,,,,22550,0,9
20241115,61,51,202508,,,,,,22500,0,11
20241115,61,51,202510,,,,,,22440,0,3
20241118,61,51,202502,,22550,22550,22550,22550,22550,1,44
20241118,61,51,202504,,22410,22410,22410,22410,22410,1,25
20241118,61,51,202506,,,,,,22550,0,9
20241118,61,51,202508,,,,,,22500,0,11
20241118,61,51,202510,,,,,,22440,0,3
20241119,61,51,202502,,23000,23000,23000,23000,23000,1,44
20241119,61,51,202504,,,,,,22700,0,25
20241119,61,51,202506,,,,,,22600,0,9
20241119,61,51,202508,,,,,,22600,0,11
20241119,61,51,202510,,,,,,22440,0,3
20241120,61,51,202502,,23300,23460,23300,23460,23460,7,44
20241120,61,51,202504,,23150,23150,23150,23150,23150,1,25
20241120,61,51,202506,,23050,23050,23050,23050,23050,1,8
20241120,61,51,202508,,22900,22900,22900,22900,22900,1,10
20241120,61,51,202510,,22600,22890,22600,22890,22890,3,5
20241121,61,51,202502,,,,,,23460,0,44
20241121,61,51,202504,,23400,23600,23400,23600,23600,8,25
20241121,61,51,202506,,23500,23600,23500,23500,23500,5,8
20241121,61,51,202508,,,,,,22900,0,10
20241121,61,51,202510,,,,,,22890,0,5
20241122,61,51,202502,,,,,,23460,0,44
20241122,61,51,202504,,,,,,23600,0,25
20241122,61,51,202506,,,,,,23500,0,8
20241122,61,51,202508,,,,,,22900,0,10
20241122,61,51,202510,,23190,23200,23190,23200,23200,4,8
20241125,61,51,202502,,,,,,23460,0,44
20241125,61,51,202504,,,,,,23600,0,25
20241125,61,51,202506,,,,,,23500,0,8
20241125,61,51,202508,,23360,23360,23360,23360,23360,1,10
20241125,61,51,202510,,23200,23200,23200,23200,23200,3,11
20241126,61,51,202502,,23900,23900,23900,23900,23900,1,44
20241126,61,51,202504,,,,,,23700,0,25
20241126,61,51,202506,,,,,,23510,0,8
20241126,61,51,202508,,,,,,23400,0,10
20241126,61,51,202510,,,,,,23200,0,11
20241127,61,51,202502,,,,,,23900,0,44
20241127,61,51,202504,,,,,,23700,0,25
20241127,61,51,202506,,,,,,23510,0,8
20241127,61,51,202508,,23500,23500,23500,23500,23500,1,10
20241127,61,51,202510,,,,,,23200,0,11
20241128,61,51,202502,,,,,,23900,0,44
20241128,61,51,202504,,23850,23850,23850,23850,23850,1,25
20241128,61,51,202506,,,,,,23650,0,8
20241128,61,51,202508,,,,,,23610,0,10
20241128,61,51,202510,,23300,23300,23300,23300,23300,1,12
20241129,61,51,202502,,24200,24350,24200,24350,24280,2,45
20241129,61,51,202504,,24150,24250,24150,24250,24200,2,25
20241129,61,51,202506,,24120,24120,24120,24120,24120,1,7
20241129,61,51,202508,,24000,24000,24000,24000,24000,1,11
20241129,61,51,202510,,,,,,23300,0,12
20241202,61,51,202502,,24500,24500,24500,24500,24500,3,44
20241202,61,51,202504,,,,,,24200,0,25
20241202,61,51,202506,,,,,,24120,0,7
20241202,61,51,202508,,,,,,24000,0,11
20241202,61,51,202510,,,,,,23300,0,12
20241203,61,51,202502,,24400,24500,24400,24500,24480,4,44
20241203,61,51,202504,,,,,,24200,0,25
20241203,61,51,202506,,,,,,24120,0,7
20241203,61,51,202508,,,,,,24000,0,11
20241203,61,51,202510,,,,,,23300,0,12
20241204,61,51,202502,,24520,24580,24520,24580,24580,5,44
20241204,61,51,202504,,24450,24500,24450,24500,24500,2,26
20241204,61,51,202506,,24430,24500,24430,24500,24500,3,8
20241204,61,51,202508,,,,,,24000,0,11
20241204,61,51,202510,,22890,22890,22890,22890,22890,1,12
20241205,61,51,202502,,24620,24850,24620,24850,24820,6,47
20241205,61,51,202504,,24570,24750,24570,24750,24750,4,27
20241205,61,51,202506,,24520,24900,24520,24900,24900,6,12
20241205,61,51,202508,,24450,24450,24450,24450,24450,2,11
20241205,61,51,202510,,22450,23300,22430,23300,23040,14,20
20241206,61,51,202502,,24750,24820,24750,24820,24820,10,44
20241206,61,51,202504,,24700,24880,24700,24880,24880,8,25
20241206,61,51,202506,,24800,24800,24800,24800,24800,3,9
20241206,61,51,202508,,24790,24790,24500,24500,24500,4,11
20241206,61,51,202510,,,,,,23040,0,20
20241209,61,51,202502,,24820,25150,24820,25150,25150,39,44
20241209,61,51,202504,,24890,25010,24890,25010,25010,21,25
20241209,61,51,202506,,,,,,24800,0,9
20241209,61,51,202508,,24800,24990,24800,24990,24900,2,12
20241209,61,51,202510,,,,,,23040,0,20
20241210,61,51,202502,,25360,25500,25360,25500,25500,17,43
20241210,61,51,202504,,25320,25450,25320,25450,25450,7,26
20241210,61,51,202506,,25150,25300,25150,25300,25300,2,10
20241210,61,51,202508,,24900,25400,24900,25400,25400,4,15
20241210,61,51,202510,,,,,,23040,0,20
20241211,61,51,202502,,25550,25800,25550,25800,25800,26,46
20241211,61,51,202504,,25600,25760,25600,25760,25760,9,25
20241211,61,51,202506,,25650,25840,25650,25840,25840,2,11
20241211,61,51,202508,,25450,25750,25450,25750,25750,4,14
20241211,61,51,202510,,23550,23550,23550,23550,23550,1,20
20241212,61,51,202502,,26100,26230,26100,26230,26230,16,43
20241212,61,51,202504,,26100,26120,26100,26120,26120,12,25
20241212,61,51,202506,,26250,26250,26250,26250,26250,1,11
20241212,61,51,202508,,,,,,25750,0,14
20241212,61,51,202510,,23500,24020,23500,24020,24020,9,13
20241213,61,51,202502,,26250,26270,25710,25710,25730,14,46
20241213,61,51,202504,,26200,26200,26180,26180,26180,7,25
20241213,61,51,202506,,26150,26150,26150,26150,26150,1,11
20241213,61,51,202508,,,,,,25750,0,14
20241213,61,51,202510,,24500,24500,24500,24500,24500,5,13
20241216,61,51,202502,,25700,25750,25700,25730,25730,33,45
20241216,61,51,202504,,25800,25800,25800,25800,25800,1,26
20241216,61,51,202506,,25700,25700,25630,25630,25630,2,10
20241216,61,51,202508,,25650,25650,25650,25650,25650,1,14
20241216,61,51,202510,,,,,,24500,0,13
20241217,61,51,202502,,25720,26200,25720,26200,26200,41,47
20241217,61,51,202504,,25810,25830,25810,25830,25830,19,26
20241217,61,51,202506,,,,,,25630,0,10
20241217,61,51,202508,,,,,,25650,0,14
20241217,61,51,202510,,,,,,24500,0,13
20241218,61,51,202502,,26490,26650,26450,26650,26650,18,45
20241218,61,51,202504,,26200,26200,26170,26170,26170,10,26
20241218,61,51,202506,,26100,26100,26080,26080,26080,9,10
20241218,61,51,202508,,26000,26000,26000,26000,26000,1,14
20241218,61,51,202510,,24800,24800,24800,24800,24800,1,14
20241219,61,51,202502,,26660,26830,26660,26830,26830,11,45
20241219,61,51,202504,,26500,26690,26500,26690,26690,20,27
20241219,61,51,202506,,26400,26600,26400,26600,26600,19,11
20241219,61,51,202508,,26300,26300,26300,26300,26300,1,14
20241219,61,51,202510,,,,,,24800,0,14
20241220,61,51,202502,,26900,27200,26900,27100,27100,34,46
20241220,61,51,202504,,27000,27000,26950,26950,26950,14,26
20241220,61,51,202506,,,,,,26600,0,11
20241220,61,51,202508,,,,,,26300,0,14
20241220,61,51,202510,,25000,25200,25000,25200,25200,2,14
20241223,61,51,202502,,26800,26800,26800,26800,26800,4,50
20241223,61,51,202504,,26960,27100,26960,27100,27100,8,26
20241223,61,51,202506,,26800,27000,26800,26800,26800,7,12
20241223,61,51,202508,,26830,26830,26800,26800,26800,6,15
20241223,61,51,202510,,24700,24700,24700,24700,24700,1,14
20241224,61,51,202502,,26600,26750,26450,26700,26700,81,79
20241224,61,51,202504,,26600,26620,26600,26620,26620,4,27
20241224,61,51,202506,,26600,26600,26600,26600,26600,1,13
20241224,61,51,202508,,,,,,26800,0,15
20241224,61,51,202510,,,,,,24700,0,14
20241225,61,51,202502,,26600,26600,26350,26350,26350,40,79
20241225,61,51,202504,,26450,26450,26090,26090,26090,22,26
20241225,61,51,202506,,26350,26350,26290,26290,26290,17,12
20241225,61,51,202508,,26340,26340,26280,26280,26280,14,15
20241225,61,51,202510,,24210,24210,24210,24210,24210,1,15
20241226,61,51,202502,,25900,26050,25900,26050,26050,39,79
20241226,61,51,202504,,26060,26060,26030,26030,26030,19,27
20241226,61,51,202506,,25950,25990,25950,25990,25990,16,12
20241226,61,51,202508,,,,,,26280,0,15
20241226,61,51,202510,,,,,,24210,0,15
20241227,61,51,202502,,26090,26120,26090,26120,26120,17,79
20241227,61,51,202504,,26040,26090,26040,26090,26090,11,26
20241227,61,51,202506,,26510,26510,26510,26510,26510,1,13
20241227,61,51,202508,,,,,,26280,0,15
20241227,61,51,202510,,23740,23740,23740,23740,23740,1,14
20241230,61,51,202502,,26000,26000,25800,25800,25800,12,79
20241230,61,51,202504,,26000,26000,25570,25570,25570,13,26
20241230,61,51,202506,,26290,26290,26290,26290,26290,1,14
20241230,61,51,202508,,26300,26300,26300,26300,26300,1,16
20241230,61,51,202510,,24210,24210,24000,24000,24000,3,16
